192.168.43.42,ABCD,21.84,46.87,Off,2017-01-29 16:25:26
192.168.43.48,WXYZ,22.78,45.41,On,2017-01-29 16:25:26
192.168.43.42,ABCD,22.03,45.86,Off,2017-01-29 16:36:45
192.168.43.48,WXYZ,23.22,44.05,Off,2017-01-29 16:36:45
192.168.43.42,ABCD,22.16,46.72,Off,2017-01-29 16:40:10
192.168.43.48,WXYZ,23.25,44.25,Off,2017-01-29 16:40:10
192.168.43.42,ABCD,22.06,45.81,Off,2017-01-29 16:45:15
192.168.43.48,WXYZ,23.09,44.32,Off,2017-01-29 16:45:15
192.168.43.42,ABCD,18.28,46.5,Off,2017-01-29 17:00:13
192.168.43.48,WXYZ,18.56,46.28,Off,2017-01-29 17:00:13
192.168.43.42,ABCD,17.09,48.85,Off,2017-01-29 17:15:15
192.168.43.48,WXYZ,17.41,47.74,Off,2017-01-29 17:15:15
192.168.43.42,ABCD,16.44,50.51,Off,2017-01-29 17:30:25
192.168.43.48,WXYZ,16.66,50.06,Off,2017-01-29 17:30:25
192.168.43.42,ABCD,15.88,51.17,Off,2017-01-29 17:45:13
192.168.43.48,WXYZ,16.25,50.58,Off,2017-01-29 17:45:13
192.168.43.42,ABCD,15.56,51.0,Off,2017-01-29 18:00:23
192.168.43.48,WXYZ,15.78,50.49,Off,2017-01-29 18:00:23
192.168.43.42,ABCD,15.22,50.95,Off,2017-01-29 18:15:15
192.168.43.48,WXYZ,15.47,50.39,Off,2017-01-29 18:15:15
192.168.43.42,ABCD,15.0,52.65,Off,2017-01-29 18:30:11
192.168.43.48,WXYZ,15.28,51.82,Off,2017-01-29 18:30:11
192.168.43.42,ABCD,14.72,51.44,Off,2017-01-29 18:45:16
192.168.43.48,WXYZ,15.16,50.41,Off,2017-01-29 18:45:16
192.168.43.42,ABCD,14.59,52.05,Off,2017-01-29 19:00:21
192.168.43.48,WXYZ,14.91,51.11,Off,2017-01-29 19:00:21
192.168.43.42,ABCD,14.5,52.15,Off,2017-01-29 19:15:15
192.168.43.48,WXYZ,14.72,51.24,Off,2017-01-29 19:15:15
192.168.43.42,ABCD,14.25,51.54,Off,2017-01-29 19:30:12
192.168.43.48,WXYZ,14.53,50.73,Off,2017-01-29 19:30:12
